DeepWell.pd.txt		
ph8p5Tris			200	200	200	200	200	200	200	200	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	200	200	200	200	200	200	200	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100.00 % Water			817	750	683	617	550	483	767	700	633	567	500	433	817	750	683	617	550	483	767	700	633	567	500	433	817	750	683	617	550	483	767	700	633	567	500	433	817	750	683	617	550	483	767	700	633	567	500	433	767	700	633	567	500	433	667	600	533	467	400	333	767	700	633	567	500	433	667	600	533	467	400	333	767	700	633	567	500	433	667	600	533	467	400	333	767	700	633	567	500	433	667	600	533	467	400	333
SrCl			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	200	200	200	200	200	200	100	100	100	100	100	100	200	200	200	200	200	200	100	100	100	100	100	100	200	200	200	200	200	200	100	100	100	100	100	100	200	200	200	200	200	200
ph9.2glycine			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	200	200	200	200	200	200	200	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	200	200	200	200	200	200	200	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0
ph9.5clycine			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	200	200	200	200	200	200	200	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	200	200	200	200	200	200	200	200	200	200	200
ph9.0Glycine			0	0	0	0	0	0	0	0	0	0	0	0	200	200	200	200	200	200	200	200	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	200	200	200	200	200	200	200	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaBr			50	50	50	50	50	50	100	100	100	100	100	100	50	50	50	50	50	50	100	100	100	100	100	100	50	50	50	50	50	50	100	100	100	100	100	100	50	50	50	50	50	50	100	100	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
peg400			933	1000	1067	1133	1200	1267	933	1000	1067	1133	1200	1267	933	1000	1067	1133	1200	1267	933	1000	1067	1133	1200	1267	933	1000	1067	1133	1200	1267	933	1000	1067	1133	1200	1267	933	1000	1067	1133	1200	1267	933	1000	1067	1133	1200	1267	933	1000	1067	1133	1200	1267	933	1000	1067	1133	1200	1267	933	1000	1067	1133	1200	1267	933	1000	1067	1133	1200	1267	933	1000	1067	1133	1200	1267	933	1000	1067	1133	1200	1267	933	1000	1067	1133	1200	1267	933	1000	1067	1133	1200	1267
